S.No,Site / Organisation,Ministry / Department,URL,Status,Parser Type,Sections Scraped
1,GST Portal — News and Updates,Ministry of Finance,https://services.gst.gov.in/services/advisory/advisoryandreleases,Active,LIST,1
2,Department of Food and Public Distribution,Department of Food and Public Distribution,https://dfpd.gov.in/Home/WhatsNewViewAllList?languageId=1,Active,LIST,1
3,Ministry of Heavy Industries,Ministry of Heavy Industries,,Active,LIST,2
4,Export Promotion Council for EOUs & SEZs (EPCES),Ministry of Commerce and Industry,https://epces.in/index.php,Active,PDF_INDEX,1
5,Department for Promotion of Industry and Internal Trade (DPIIT),Ministry of Commerce and Industry,https://www.dpiit.gov.in/whats-new,Active,LIST,1
6,Income Tax,Department of Revenue,https://incometaxindia.gov.in/Pages/communications/whats-new.aspx,Active,LIST,1
7,Intellectual Property India,Ministry of Commerce and Industry,https://ipindia.gov.in/Home/Latestnews/1?CatID=1&pg=1,Active,LIST,1
8,Ministry of Steel,Ministry of Steel,https://steel.gov.in/press-release,Active,TABLE,1
9,Ministry of Textiles,Ministry of Textiles,https://www.texmin.gov.in/whats-new,Inactive,LIST,1
10,Project Export Promotion Council (PEPC),Ministry of Commerce and Industry,https://projectexports.com,Active,LIST,1
11,Ministry of Information and Broadcasting,Ministry of Information and Broadcasting,,Active,TABLE,4
12,Ministry of Home Affairs,Ministry of Home Affairs,https://www.mha.gov.in/en/media/whats-new,Active,TABLE,1
13,Ministry of Tourism,Ministry of Tourism,https://tourism.gov.in/index.php/media/whats-new,Active,TABLE,1
14,Ministry of Women and Child Development,Ministry of Women and Child Development,https://wcd.gov.in/press,Active,TABLE,1
15,Commission for Agricultural Costs and Prices (CACP),Department of Agriculture and Farmers Welfare,,Active,TABLE,2
16,ICAR - Indian Council of Agricultural Research,Department of Agricultural Research and Education,,Active,TABLE,5
17,Department of Fertilizers,Ministry of Chemicals and Fertilizers,https://fert.gov.in/what-s-new,Active,TABLE,1
18,Department of Fisheries,"Ministry of Fisheries, Animal Husbandry and Dairying",https://dof.gov.in/whats-new,Active,LIST,1
19,Directorate of Marketing and Inspection (DMI),Department of Agriculture and Farmers Welfare,https://dmi.gov.in/,Active,LIST,1
